startup,text
arobot,38스모어톡플라멜
arobot,M&A3908억원
arobot,스패너스패너 커넥터
arobot,바로 확인 가능경기도∙중소기업
arobot,개인정보처리방침이용약관회사 소개채용 안내
arobot,데이터베이스통합검색투자/M&AIR스타트업투자자펀드뉴스지원사업
arobot,현재 라운드Seed투자총 투자 유치로그인 필요선택한 라운드비공개알 수 없음선택한 투자 유치로그인 필요두 원이 겹쳐진 영역을 반복해서 누르면 가려진 원이 선택됩니다.전체 투자자3개사(명)에스지씨파트너스한국∙기업벤처캐피탈가우스캐피탈매니지먼트한국∙금융회사하나벤처스한국∙벤처캐피탈
arobot,"16일 전주권 산업으로서의 휴머노이드하나벤처스 주도로 진행됐으며 SGC파트너스, 가우스캐피탈매니지먼트 등이 참여했다. 현재는 시리즈 A 투자를 진행 중이다. 엄 대표는 ""창업은 2018년에 했지만, 첫 투자는 6년 뒤인 2024년에서야 받았다""며 ""창업 당시만...에이로봇가우스캐피탈매니지먼트+1"
arobot,아프리카티비
arobot,72엘비엠런던 베이글 뮤지엄
arobot,망고부스트코리아
arobot,"고용 인원국민연금(2025-04-24 갱신)총 인원22명최근 1년간 입사자12명최근 1년간 퇴사자0명2019년 ~ 2025년최근 2년다운로드* 과거 회사명부터 지금 회사명까지의 인원 변동을 확인할 수 있습니다.* 본점, 지점의 고용 데이터를 합산하여 산출한 결과입니다."
arobot,재직 중대표
arobot,54슬링오르조
arobot,퓨리오사에이아이
arobot,뤼튼테크놀로지스뤼튼
arobot,33레브잇올웨이즈
arobot,"아이뉴스2411일 전엔비디아 'GTC 타이베이'에 한국 로봇 '엘리스' 뜬다3일 로봇업계에 따르면, 에이로봇은 최근 엔비디아로부터 공식 초청을 받고 GTC 타이베이 행사에서 엘리스를 선보일 예정이다. 지난 1월 미국 라스베이거스에서 열린 젠슨황 엔비디아 최고경영자(CEO)의 'CES 2025...에이로봇"
arobot,그래비티벤처스
arobot,마키나락스런웨이
arobot,78퓨처플레이액셀러레이팅
arobot,모든 투자자 확인하기
arobot,1퓨리오사에이아이AI 반도체
arobot,레몬트리퍼핀
arobot,플라즈마 탈취살균기
arobot,더보기 6 / 12
arobot,등기부등본 (2025-03-09 갱신)
arobot,최근 투자 유치일 순
arobot,예능/드라마 제작
arobot,주요 임직원
arobot,임직원 수 (2025-03)
arobot,임직원직위상태주요 이력엄윤설한국∙여성사내이사경영재직 중대표에이로봇사내이사
arobot,문의master@thevc.kr
arobot,사람들이 함께 본 회사4개사
arobot,브이원프라이빗에쿼티사모투자조합
arobot,주권 산업으로서의 휴머노이드
arobot,라이너라이너
arobot,넥스아이면역항암제
arobot,다다닥헬스케어다다닥
arobot,퓨처플레이액셀러레이팅
arobot,22명2025-03-01
arobot,최근 1년간 입사자12명
arobot,투자 라운드 (1건)
arobot,에이로봇씨메스+4
arobot,50라포랩스퀸잇
arobot,현재 라운드Seed투자총 투자 유치로그인 필요선택한 라운드비공개알 수 없음선택한 투자 유치로그인 필요
arobot,에스지씨파트너스
arobot,뤼튼테크놀로지스
arobot,AI 반도체
arobot,96로보스도축장 자동화 로봇 솔루션
arobot,십일리터라이펫
arobot,투자 유치수정 요청
arobot,파이낸셜뉴스21일 전94조원 휴머노이드 로봇 시장...기업 투자 늘리고 상용화 속도휴머노이드를 분야를 주도하는 주요 스타트업으로는 △레인보우로보틱스 △로보티즈 △블루로빈 △서큘러스 △에이로봇 △에이딘로보틱스 △위로로보틱스 △홀리데이로보틱스 등이 있다. 이와 관련 삼성전자가...에이로봇서큘러스+2
arobot,"물론 우리나라도 국내 첫 휴머노이드 로봇인 휴보를 개발한 레인보우로보틱스, 에이로봇, 홀리데이로보틱스 등의 기업이 노력 중입니다. 하지만 미중 패권 다툼 속 '로봇 굴기'로 밀어부치는 중국 앞에서 조바심이..."
arobot,데이터베이스
arobot,"서울경제21일 전올해 中 휴머노이드 로봇 1만대 쏟아진다...한국은 2030년 최강국 목표로브로스, 엔젤로보틱스, 뉴로메카, 두산로보틱스(454910), LG전자(066570), HD현대(267250)로보틱스 등 기업이 대거 참여했다. 산업통상자원부는 로봇 R&D, 인프라, 실증 등 관련 예산을 활용해 기업들의 기술 개발을 지원한다.에이로봇뉴로메카+7"
arobot,48숲아프리카티비
arobot,로보스도축장 자동화 로봇 솔루션
arobot,15모빌리티원M1UCS
arobot,"기업 개요홈페이지주식회사에이로봇(A ROBOT)은2018년 4월에 설립된한국계∙중소기업입니다.전자제품∙로봇분야의앨리스가 주요 제품/서비스입니다.본사는한국∙경기도∙안산시에 위치해있습니다.현재 대표자는엄윤설입니다.유사 기업은서큘러스∙아이피엘∙매크로액트∙토룩등이 있습니다.앨리스연관 키워드소셜 로봇로봇휴머노이드인공지능기술주요 정보상태비상장업력7년투자 라운드 (1건)Seed투자 유치 (12개월 전)로그인 필요매출 (2024)프로 플랜 필요임직원 수 (2025-03)22명YoY 144%특허 (6개월 전)9개최근 뉴스더보기7일 전""트럼프2.0과 한국, 위기는 곧 재도약 기회""(종합2보)7일 전[알립니다] 트럼프 2.0과 新한국, 위기극복 해법 찾기...뉴스1미래포럼 ...8일 전[알립니다] AI와 로봇의 융합...불붙은 휴머노이드 글로벌 경쟁11일 전엔비디아 'GTC 타이베이'에 한국 로봇 '엘리스' 뜬다투자 유치수정 요청현재 라운드Seed투자총 투자 유치로그인 필요선택한 라운드비공개알 수 없음선택한 투자 유치로그인 필요두 원이 겹쳐진 영역을 반복해서 누르면 가려진 원이 선택됩니다.전체 투자자3개사(명)에스지씨파트너스한국∙기업벤처캐피탈가우스캐피탈매니지먼트한국∙금융회사하나벤처스한국∙벤처캐피탈모든 투자자 확인하기제품/서비스총 1개수정 요청앨리스휴머노이드형 소셜 로봇로봇기술전자제품로봇분야오프라인O2O제조/공급사업 형태하드웨어운영유사 제품과 데이터 더보기고용 인원국민연금(2025-04-24 갱신)총 인원22명최근 1년간 입사자12명최근 1년간 퇴사자0명2019년 ~ 2025년최근 2년다운로드* 과거 회사명부터 지금 회사명까지의 인원 변동을 확인할 수 있습니다.* 본점, 지점의 고용 데이터를 합산하여 산출한 결과입니다.주요 임직원총 1명수정 요청임직원직위상태주요 이력엄윤설한국∙여성사내이사경영재직 중대표에이로봇사내이사유사 회사12개사회사제품/서비스기술분야투자 유치현재에이로봇한국∙중소기업앨리스휴머노이드형 소셜 로봇로봇전자제품로봇Seed알 수 없음86%서큘러스한국∙스타트업파이보휴머노이드형 소셜 로봇로봇전자제품로봇Seed알 수 없음75%아이피엘한국∙스타트업아이지니스마트홈 로봇로봇전자제품로봇Series A24억 2000만원73%매크로액트한국∙스타트업마이캣로봇공학에 인공지능을 도입한 자율 소셜로봇인공지능전자제품로봇Seed5799만 7500원73%토룩한국∙스타트업라이봇가정용 교감 로봇로봇전자제품로봇Series A알 수 없음71%아카인텔리전스한국∙스타트업뮤지오인공지능 커뮤니케이션 로봇로봇전자제품로봇Series B245억원70%레인보우로보틱스한국∙스타트업휴보한국 최초의 이족 보행 로봇로봇전자제품로봇M&A3908억원더보기 6 / 12경기도 소재의 다른 전자제품 중소기업소재지총 투자 유치 금액 순회사분야총 투자 유치 금액 순최근 투자 유치일/단계??위에이로봇경기도∙중소기업전자제품35억원2024-05-20Seed1위바로 확인 가능경기도∙중소기업전자제품바로 확인 가능바로 확인 가능2위바로 확인 가능경기도∙중소기업전자제품바로 확인 가능바로 확인 가능데이터베이스에서 확인하기업력 7년 이하의 다른 전자제품 중소기업업력고용인원 순회사분야고용인원 순고용인원 증감??위에이로봇7년차∙중소기업전자제품22명2025-03-013명 증가1개월 전 대비1위바로 확인 가능7년차∙중소기업전자제품바로 확인 가능바로 확인 가능2위바로 확인 가능7년차∙중소기업전자제품바로 확인 가능바로 확인 가능데이터베이스에서 확인하기TIPS에 선정된 전자제품 중소기업TIPS최근 투자 유치일 순회사분야최근 투자 유치일 순인증 자격1위바로 확인 가능TIPS∙중소기업전자제품바로 확인 가능바로 확인 가능2위바로 확인 가능TIPS∙중소기업전자제품바로 확인 가능바로 확인 가능데이터베이스에서 확인하기사람들이 함께 본 회사4개사클라우드브릭한국∙스타트업비주얼터미놀로지한국∙중소기업스케일랩스미국∙스타트업대구테크노파크한국∙정부"
arobot,에 위치해있습니다.
arobot,미디어커머스
arobot,매출 (2024)
arobot,모빌리티원M1UCS
arobot,산업용 로봇
arobot,가정용 교감 로봇
arobot,91테크타카아르고
arobot,블루포인트파트너스액셀러레이팅
arobot,"당사 및 당사 임직원은 절대로 문자 또는 카카오톡 등을 통한 투자 상담 및 계좌 입금 유도를 하지 않으며, 유사 증권/가상화폐 거래소를 일절 운영하고 있지 않습니다. 이러한 범죄행위로 인하여 피해를 보시는 일이 없도록 주의해주시기를 바랍니다. 당사가 2016년부터 운영 중인 웹서비스 도메인은 thevc.kr가 유일합니다. imthevc.com, itvsjh.com등은 당사가 운영하는 웹서비스가 아닙니다."
arobot,75%아이피엘한국∙스타트업
arobot,"더브이씨(THE VC)에서 제공하는 정보는 신뢰할 만한 자료 및 정보로부터 얻어진 것이나 그 정확성이나 완전성을 보장 할 수 없으며, 시간이 경과함에 따라 변경될 수 있습니다. 따라서 정보의 오류, 누락에 대하여 더브이씨(THE VC) 또는 더브이씨(THE VC)에 자료를 제공하는 기관에서는 그 결과에 대해 법적인 책임을 지지 않습니다. 모든 콘텐츠에 대한 저작권은 더브이씨(THE VC)에 있으며 사전 허가없이 이를 무단으로 사용하거나, 데이터베이스화 할 경우 민형사상 책임을 물을 수 있습니다.당사 및 당사 임직원은 절대로 문자 또는 카카오톡 등을 통한 투자 상담 및 계좌 입금 유도를 하지 않으며, 유사 증권/가상화폐 거래소를 일절 운영하고 있지 않습니다. 이러한 범죄행위로 인하여 피해를 보시는 일이 없도록 주의해주시기를 바랍니다. 당사가 2016년부터 운영 중인 웹서비스 도메인은 thevc.kr가 유일합니다. imthevc.com, itvsjh.com등은 당사가 운영하는 웹서비스가 아닙니다.자세히 보기"
arobot,업력 7년 이하의 다른 전자제품 중소기업업력고용인원 순회사분야고용인원 순고용인원 증감??위에이로봇7년차∙중소기업전자제품22명2025-03-013명 증가1개월 전 대비1위바로 확인 가능7년차∙중소기업전자제품바로 확인 가능바로 확인 가능2위바로 확인 가능7년차∙중소기업전자제품바로 확인 가능바로 확인 가능데이터베이스에서 확인하기
arobot,전자제품∙로봇분야의앨리스가 주요 제품/서비스입니다.
arobot,최근 1년간 입사자
arobot,94조원 휴머노이드 로봇 시장...기업 투자 늘리고 상용화 속도
arobot,대교인베스트먼트
arobot,1위바로 확인 가능7년차∙중소기업
arobot,66레몬트리퍼핀
arobot,42스콘미츄
arobot,"* 과거 회사명부터 지금 회사명까지의 인원 변동을 확인할 수 있습니다.* 본점, 지점의 고용 데이터를 합산하여 산출한 결과입니다."
arobot,소셜 로봇로봇휴머노이드인공지능기술
arobot,매일경제17일 전
arobot,master@thevc.kr
arobot,아이지니스마트홈 로봇
arobot,한국계∙중소기업
arobot,홈페이지arobot4all.com
arobot,한국∙벤처캐피탈
arobot,플랫포스폰기프트
arobot,제네시스프라이빗에쿼티사모투자조합
arobot,가우스캐피탈매니지먼트
arobot,유사 기업은서큘러스∙아이피엘∙매크로액트∙토룩등이 있습니다.
arobot,34두잇두잇
arobot,47제네시스프라이빗에쿼티사모투자조합
arobot,최근 1년간 퇴사자0명
arobot,98플렉슬플렉슬
arobot,93리브스메드아티센셜
arobot,조회수 랭킹
arobot,87제트에이아이블럭스
arobot,23컬리마켓컬리
arobot,선택한 투자 유치로그인 필요
arobot,비주얼터미놀로지한국∙중소기업
arobot,뮤지오인공지능 커뮤니케이션 로봇
arobot,레인보우로보틱스
arobot,제트에이아이
arobot,에이로봇한국과학기술연구원
arobot,"국내 AI 개발그룹은 레인보우로보틱스, 에이로봇, 홀리데이로보틱스, 원익로보틱스, 위로보틱스, 블루로빈, 로브로스, 엔젤로보틱스, 뉴로메카, 두산로보틱스, LG전자, HD현대로보틱스 등 로봇제조기업이 공동 사용할..."
arobot,전기차 충전기
arobot,트웰브랩스페가수스
arobot,제품/서비스총 1개
arobot,숲아프리카티비
arobot,70%레인보우로보틱스한국∙스타트업
arobot,3908억원
arobot,업력 7년 이하의 다른 전자제품 중소기업업력고용인원 순
